id,genres,characteristic,power
0,21st century classical,acousticness,0.9793333333333332
1,432hz,acousticness,0.49478
2,8-bit,acousticness,0.762
3,[],acousticness,0.6514170195595453
4,a cappella,acousticness,0.676557304985755
5,abstract,acousticness,0.45921000000000006
6,abstract beats,acousticness,0.3421466666666667
7,abstract hip hop,acousticness,0.2438540633608816
8,accordeon,acousticness,0.32299999999999995
9,accordion,acousticness,0.446125
10,acid house,acousticness,0.06795053846153845
11,acid rock,acousticness,0.2569145079725167
12,acid trance,acousticness,0.00683
13,acousmatic,acousticness,0.9170191062801932
14,acoustic blues,acousticness,0.761723539455837
15,acoustic pop,acousticness,0.4902350260381985
16,acoustic punk,acousticness,0.4049000220385675
17,acoustic rock,acousticness,0.6132007936507936
18,action rock,acousticness,0.22899999999999998
19,adoracion,acousticness,0.4328571428571428
20,adult standards,acousticness,0.6556483763400994
21,adventista,acousticness,0.7841433333333333
22,afghan pop,acousticness,0.4106285714285714
23,afghan traditional,acousticness,0.958
24,african percussion,acousticness,0.327
25,african reggae,acousticness,0.2458
26,african rock,acousticness,0.13985650416666667
27,african-american classical,acousticness,0.9255341402855372
28,afro dancehall,acousticness,0.14390024821969696
29,afro house,acousticness,0.32166666666666666
30,afro psych,acousticness,0.2280666666666667
31,afro soul,acousticness,0.00627
32,afro-funk,acousticness,0.1375592592592593
33,afrobeat,acousticness,0.3608718067607344
34,afrofuturism,acousticness,0.2481634593146479
35,afrofuturismo brasileiro,acousticness,0.626
36,afropop,acousticness,0.436659746365678
37,afroswing,acousticness,0.31845
38,aggrotech,acousticness,0.01186776
39,alabama indie,acousticness,0.3232776022727273
40,alabama metal,acousticness,0.002748
41,alabama rap,acousticness,0.14077273406414376
42,alaska indie,acousticness,0.13386666666666666
43,albanian pop,acousticness,0.0028699999999999997
44,albany ny indie,acousticness,0.0005639999999999999
45,alberta country,acousticness,0.20776726190476189
46,alberta hip hop,acousticness,0.33
47,album rock,acousticness,0.1861824547987221
48,albuquerque indie,acousticness,0.3502145925925926
49,alt-idol,acousticness,0.000304725
50,alte,acousticness,0.0692
51,alternative americana,acousticness,0.34821927083333337
52,alternative country,acousticness,0.4071150580061164
53,alternative dance,acousticness,0.15180570720400158
54,alternative emo,acousticness,0.12812226154687034
55,alternative hip hop,acousticness,0.1882624872239785
56,alternative metal,acousticness,0.058247125931528074
57,alternative pop,acousticness,0.11006783248665826
58,alternative pop rock,acousticness,0.17046744588744586
59,alternative r&b,acousticness,0.3071436408855493
60,alternative rock,acousticness,0.15705871937921256
61,alternative roots rock,acousticness,0.2691217368421052
62,ambeat,acousticness,0.4431139926739927
63,ambient,acousticness,0.6732743467076509
64,ambient black metal,acousticness,0.001325495
