id,genres,popularity
237,basshall,0.8066666666666665
2533,south african house,0.8
2755,trap venezolano,0.8
2778,turkish edm,0.8
46,alberta hip hop,0.785
536,chinese electropop,0.785
37,afroswing,0.773125
1381,indie triste,0.77
2800,uk diy punk,0.77
575,circuit,0.77
1239,guaracha,0.77
2383,russian dance,0.77
31,afro soul,0.77
2102,pagode baiano,0.7666666666666667
2337,ritmo kombina,0.7633333333333333
2754,trap triste,0.7608333333333335
2002,norwegian pop rap,0.76
2834,urbano espanol,0.7525
1850,musica canaria,0.7516666666666667
110,argentine hip hop,0.7497916666666667
2332,rhode island rap,0.7436363636363637
2346,rock chapin,0.74
2748,trap chileno,0.74
1240,guatemalan pop,0.74
799,deep dance pop,0.735
537,chinese hip hop,0.73
538,chinese idol pop,0.73
1613,korean mask singer,0.73
1120,funk pop,0.728888888888889
285,birmingham grime,0.7266666666666666
2536,south african pop dance,0.725
2747,trap argentino,0.722777777777778
2324,reggaeton mexicano,0.72
1307,hong kong hip hop,0.72
1505,japanese indie rock,0.72
917,dutch hip hop,0.715
1811,modern indie pop,0.7131770833333333
1678,london rap,0.7125
1115,funk das antigas,0.71
1170,german pop rock,0.7040000000000001
2287,r&b en espanol,0.7026190476190476
1216,gqom,0.7020000000000001
880,dong-yo,0.7
2621,swedish dancehall,0.7
1587,kentucky hip hop,0.6980293843283581
1874,musical advocacy,0.6975
1158,german dance,0.6943666666666667
1387,indonesian r&b,0.6933333333333332
1417,irish indie,0.69
806,deep flow,0.69
1675,lo-fi house,0.69
1119,funk paulista,0.69
492,channel islands indie,0.685
2633,swedish indie folk,0.6848148148148148
2857,venezuelan hip hop,0.6788304093567252
2805,uk funky,0.6767171717171719
2429,scandipop,0.6749893162393164
2180,pop nacional,0.6747916666666667
924,dutch rap pop,0.6726666666666666
1398,instrumental grime,0.6726666666666666
1800,modern alternative pop,0.671025641025641
1384,indonesian hip hop,0.6709090909090909
1182,german underground rap,0.67
1673,lo-fi cover,0.67
1012,experimental house,0.67
1564,jordanian pop,0.67
414,cambridgeshire indie,0.67
2967,zimdancehall,0.67
2808,uk house,0.67
1416,irish hip hop,0.6679999999999999
2560,spanish hip hop,0.6666666666666667
2428,scandinavian r&b,0.6666666666666667
2105,pakistani hip hop,0.6666666666666667
50,alte,0.66
2918,wave,0.66
1974,nordic house,0.6593333333333332
398,buffalo hip hop,0.6575
2897,viral rap,0.6567477567582057
2470,shush,0.6566666666666667
1958,newcastle nsw indie,0.655
255,belarusian indie,0.655
2551,sovietwave,0.655
2561,spanish indie pop,0.654
1161,german house,0.6533333333333333
389,brooklyn drill,0.6526069347319347
2798,uk dance,0.6509895631188733
253,bedroom pop,0.6502013746890697
2626,swedish eurodance,0.65
673,concepcion indie,0.65
1843,musica afroperuana,0.65
2566,spanish noise pop,0.65
1471,j-dance,0.65
2564,spanish modern rock,0.65
1574,k-pop girl group,0.6487079304029302
119,arkansas hip hop,0.6483333333333333
2934,white noise,0.6479938271604938
2898,viral trap,0.6471428571428572
1672,lo-fi chill,0.6447568922305765
1998,norwegian indie,0.6441690408357076
2535,south african pop,0.6435714285714286
969,electronica argentina,0.6433333333333333
1376,indie rockism,0.643
317,boston indie,0.6422999999999999
2405,sad rap,0.6405031639082733
1375,indie rock mexicano,0.64
1247,gujarati pop,0.64
2684,tamaulipas rap,0.64
662,colombian pop,0.6373855681074242
2532,south african hip hop,0.6366666666666667
2298,rap dominicano,0.636326530612245
1572,k-pop,0.6355665413128246
2273,punk rock mexicano,0.634
973,emo mexicano,0.634
731,cumbia pop,0.6333333333333334
2648,swedish soul,0.6333333333333334
694,corridos tumbados,0.632360710855315
1764,mexican pop punk,0.632
2084,orlando indie,0.6314285714285713
2040,nz pop,0.63133853151397
1743,meme rap,0.6310920205920207
2750,trap latino,0.6306214302605
148,australian alternative pop,0.6304347826086957
2652,swedish tropical house,0.63
1648,latincore,0.63
129,asmr,0.63
853,derby indie,0.63
2683,tamaulipas indie,0.63
2811,uk pop,0.6291493941050029
211,baltimore hip hop,0.6283333333333334
949,edmonton indie,0.6281159420289856
2171,pop argentino,0.6275
2338,rochester mn indie,0.625
827,deep pop edm,0.625
1195,glitchcore,0.6248456790123457
857,destroy techno,0.6247727272727271
878,dmv rap,0.6242988641438132
1703,manchester hip hop,0.6233333333333334
171,australian r&b,0.6225
2001,norwegian pop,0.6223257575757577
2138,pinoy indie,0.6216666666666666
2047,oc rap,0.6211111111111112
848,dembow,0.6210714285714286
630,classical accordion,0.62
12,acid trance,0.62
1997,norwegian hip hop,0.62
1443,italian contemporary jazz,0.62
2807,uk hip hop,0.6191776556776558
2860,veracruz indie,0.6185714285714284
128,asian american hip hop,0.6184761904761905
2465,shimmer psych,0.618
196,background music,0.6171527777777778
1357,indie cafe pop,0.6164531788920571
2311,rebel blues,0.6154933333333333
2756,traprun,0.6151666666666666
2427,scam rap,0.615
2765,tropical house,0.6145164257929335
1077,francoton,0.6140634920634921
2323,reggaeton flow,0.6138068295494008
1784,mindfulness,0.61375
2624,swedish electronic,0.6133333333333334
2631,swedish house,0.6133333333333334
2045,oakland indie,0.6121666666666666
975,emo rap,0.6114565929487324
2847,vapor trap,0.6100585037995354
2899,virgin islands reggae,0.61
2121,perth indie,0.61
2189,pop rock brasileiro,0.61
163,australian indie rock,0.61
1238,guam indie,0.61
2350,rock gaucho,0.61
1469,j-acoustic,0.61
434,canadian house,0.61
1256,hamburg electronic,0.61
1616,korean trap,0.61
2492,slavic folk metal,0.61
1472,j-division,0.61
1009,experimental folk,0.61
2509,social media pop,0.608207545241012
2170,pop,0.6074590869085366
1419,irish pop,0.60685
2042,nz reggae,0.6066666666666666
2938,witch house,0.6064444444444446
1741,melodic rap,0.6061712432647078
357,brisbane indie,0.605
1350,indian folk,0.605
2751,trap mexicano,0.605
962,electro-pop francais,0.605
2122,peruvian hip hop,0.605
1910,neo-singer-songwriter,0.6041666666666665
2552,spa,0.604
1475,j-pixie,0.604
2471,sierreno,0.6039046831562891
274,bergen indie,0.6035185185185186
2034,nyc rap,0.603475474987975
2441,scottish singer-songwriter,0.6034444444444442
2752,trap queen,0.6033449975581082
2863,vgm remix,0.6033333333333334
1028,finnish alternative rock,0.6033333333333334
2345,rock brasiliense,0.6033333333333334
2320,reggaeton,0.6030828412762395
2191,pop soul,0.6030357142857143
114,argentine reggae,0.6027777777777777
1467,italo dance,0.6027777777777777
499,charlotte nc indie,0.6025
1487,japanese alternative rock,0.6025
1583,kawaii metal,0.6025
965,electronic djent,0.6025
49,alt-idol,0.6025
1370,indie psych-pop,0.6022222222222222
2799,uk dancehall,0.6017142857142856
2797,uk contemporary r&b,0.6015998217468806
144,aussietronica,0.6009615384615387
734,cumbia santafesina,0.6
1335,icelandic electronic,0.6
286,birmingham hip hop,0.6
2420,san antonio rap,0.6
442,canadian modern jazz,0.6
2772,tulsa indie,0.6
1677,lo-fi vgm,0.6
1740,melodic power metal,0.6
1481,j-rock,0.5999938725490196
2321,reggaeton colombiano,0.5991396848637414
1344,idol rock,0.59875
2896,viral pop,0.5981194581506092
2917,water,0.5977380952380952
1181,german trance,0.5975
2426,saskatchewan indie,0.5971895424836603
2676,taiwan classical performance,0.5966666666666666
759,danish pop,0.5965079365079364
2421,san diego indie,0.5964814814814815
1496,japanese electropop,0.59625
959,electro latino,0.5955921978759
176,australian talent show,0.595
2178,pop folk,0.5945384615384616
503,chicago drill,0.59376066252588
236,bass trap,0.5936053113553114
2559,spanish folk metal,0.592857142857143
172,australian reggae fusion,0.5926000000000001
1686,lullaby,0.5914847494553378
1127,future house,0.591
1832,montreal indie,0.5908333333333334
92,anime rock,0.5907222222222223
1621,la pop,0.590600122100122
982,environmental,0.5905950725744842
777,dark trap,0.5902043265848664
1712,marathi pop,0.59
328,brain waves,0.59
1864,musica paraibana,0.59
116,argentine telepop,0.59
2130,pianissimo,0.59
283,binaural,0.59
2929,west virginia indie,0.59
2861,vermont indie,0.59
2033,nyc pop,0.5899343434343435
1573,k-pop boy group,0.5894349567784104
6,abstract beats,0.5893333333333333
1139,gaming edm,0.5891857993197278
573,cincinnati rap,0.5883333333333334
1670,lo-fi beats,0.588258451472192
2846,vapor soul,0.5878218525189328
2524,sound,0.5875961538461539
736,cumbia villera,0.5875
2173,pop dance,0.5869147354435035
1356,indie anthem-folk,0.585424066924067
1092,french indietronica,0.585
2166,polynesian hip hop,0.585
2620,swedish country,0.585
