,popularity,characteristic,power
0,0,valence,0.535
1,1,valence,0.4285
2,2,valence,0.493
3,3,valence,0.529
4,4,valence,0.517
5,5,valence,0.507
6,6,valence,0.532
7,7,valence,0.514
8,8,valence,0.503
9,9,valence,0.524
10,10,valence,0.4920000000000001
11,11,valence,0.4970000000000001
12,12,valence,0.507
13,13,valence,0.541
14,14,valence,0.532
15,15,valence,0.536
16,16,valence,0.542
17,17,valence,0.551
18,18,valence,0.541
19,19,valence,0.5585
20,20,valence,0.5545
21,21,valence,0.5760000000000001
22,22,valence,0.5645
23,23,valence,0.584
24,24,valence,0.585
25,25,valence,0.5634999999999999
26,26,valence,0.575
27,27,valence,0.581
28,28,valence,0.58
29,29,valence,0.5854999999999999
30,30,valence,0.568
31,31,valence,0.568
32,32,valence,0.5760000000000001
33,33,valence,0.564
34,34,valence,0.5660000000000001
35,35,valence,0.5720000000000001
36,36,valence,0.563
37,37,valence,0.58
38,38,valence,0.5720000000000001
39,39,valence,0.563
40,40,valence,0.56
41,41,valence,0.5665
42,42,valence,0.556
43,43,valence,0.557
44,44,valence,0.5489999999999999
45,45,valence,0.5489999999999999
46,46,valence,0.536
47,47,valence,0.5295000000000001
48,48,valence,0.5529999999999999
49,49,valence,0.5379999999999999
50,50,valence,0.522
51,51,valence,0.544
52,52,valence,0.531
53,53,valence,0.513
54,54,valence,0.521
55,55,valence,0.507
56,56,valence,0.513
57,57,valence,0.502
58,58,valence,0.513
59,59,valence,0.5035000000000001
60,60,valence,0.496
61,61,valence,0.5055000000000001
62,62,valence,0.511
63,63,valence,0.499
64,64,valence,0.512
65,65,valence,0.511
66,66,valence,0.486
67,67,valence,0.49650000000000005
68,68,valence,0.506
69,69,valence,0.506
70,70,valence,0.5215000000000001
71,71,valence,0.504
72,72,valence,0.509
73,73,valence,0.5155000000000001
74,74,valence,0.4885
75,75,valence,0.478
76,76,valence,0.478
77,77,valence,0.4845
78,78,valence,0.494
79,79,valence,0.5065
80,80,valence,0.51
81,81,valence,0.47650000000000003
82,82,valence,0.49000000000000005
83,83,valence,0.45999999999999996
84,84,valence,0.483
85,85,valence,0.48750000000000004
86,86,valence,0.494
87,87,valence,0.457
88,88,valence,0.569
89,89,valence,0.5579999999999999
90,90,valence,0.535
91,91,valence,0.7609999999999999
92,92,valence,0.623
93,93,valence,0.396
94,94,valence,0.696
95,95,valence,0.21985000000000002
96,96,valence,0.44999999999999996
97,97,valence,0.737
98,99,valence,0.7559999999999999
99,100,valence,0.145
100,0,acousticness,0.9740000000000001
101,1,acousticness,0.946
102,2,acousticness,0.94
103,3,acousticness,0.934
104,4,acousticness,0.935
105,5,acousticness,0.9195
106,6,acousticness,0.905
107,7,acousticness,0.9109999999999999
108,8,acousticness,0.8959999999999999
109,9,acousticness,0.8909999999999999
110,10,acousticness,0.8805
111,11,acousticness,0.875
112,12,acousticness,0.8645
113,13,acousticness,0.8240000000000001
114,14,acousticness,0.8290000000000001
115,15,acousticness,0.825
116,16,acousticness,0.8320000000000001
117,17,acousticness,0.805
118,18,acousticness,0.782
119,19,acousticness,0.7475
120,20,acousticness,0.703
121,21,acousticness,0.627
122,22,acousticness,0.5954999999999999
123,23,acousticness,0.5770000000000001
124,24,acousticness,0.515
125,25,acousticness,0.5015000000000001
126,26,acousticness,0.499
127,27,acousticness,0.46849999999999997
128,28,acousticness,0.425
129,29,acousticness,0.41200000000000003
130,30,acousticness,0.361
131,31,acousticness,0.332
132,32,acousticness,0.35
133,33,acousticness,0.321
134,34,acousticness,0.33899999999999997
135,35,acousticness,0.298
136,36,acousticness,0.292
137,37,acousticness,0.27649999999999997
138,38,acousticness,0.281
139,39,acousticness,0.293
140,40,acousticness,0.23199999999999998
141,41,acousticness,0.222
142,42,acousticness,0.223
143,43,acousticness,0.21899999999999997
144,44,acousticness,0.212
145,45,acousticness,0.21
146,46,acousticness,0.204
147,47,acousticness,0.19899999999999998
148,48,acousticness,0.201
149,49,acousticness,0.18100000000000002
150,50,acousticness,0.18
151,51,acousticness,0.165
152,52,acousticness,0.18899999999999997
153,53,acousticness,0.17
